source,source_field,source_value,omop_table,omop_field,target_domain,target_vocabulary,source_code,concept_id,review_status,notes
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Invasive Breast Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,37017351,STANDARD,Decision 3: Invasive carcinoma of breast; NOS fallback.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Carcinoma (NOS),condition_occurrence,condition_concept_id,Condition,SNOMED,,37017351,STANDARD,Decision 3: Invasive carcinoma of breast; NOS fallback.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Breast,condition_occurrence,condition_concept_id,Condition,SNOMED,,4112853,STANDARD,Decision 3: Site only; no histology stated.
metabric,data_clinical_sample.ER_STATUS,Positive,measurement,value_as_concept_id,Meas Value,SNOMED,,9191,STANDARD,Decision 4: SNOMED qualifier value; NA and blank stay unmapped.
metabric,data_clinical_sample.ER_STATUS,Negative,measurement,value_as_concept_id,Meas Value,SNOMED,,9189,STANDARD,Decision 4: SNOMED qualifier value; NA and blank stay unmapped.
metabric,data_clinical_sample.PR_STATUS,Positive,measurement,value_as_concept_id,Meas Value,SNOMED,,9191,STANDARD,Decision 4: SNOMED qualifier value; NA and blank stay unmapped.
metabric,data_clinical_sample.PR_STATUS,Negative,measurement,value_as_concept_id,Meas Value,SNOMED,,9189,STANDARD,Decision 4: SNOMED qualifier value; NA and blank stay unmapped.
metabric,data_clinical_sample.HER2_STATUS,Positive,measurement,value_as_concept_id,Meas Value,SNOMED,,9191,STANDARD,Decision 4: SNOMED qualifier value; NA and blank stay unmapped.
metabric,data_clinical_sample.HER2_STATUS,Negative,measurement,value_as_concept_id,Meas Value,SNOMED,,9189,STANDARD,Decision 4: SNOMED qualifier value; NA and blank stay unmapped.
metabric,data_clinical_sample.GRADE,1,observation,value_as_concept_id,Observation,SNOMED,,1242373,STANDARD,Decision 7: Nottingham combined histologic grade; the breast scale.
metabric,data_clinical_sample.GRADE,2,observation,value_as_concept_id,Observation,SNOMED,,1242374,STANDARD,Decision 7: Nottingham combined histologic grade; the breast scale.
metabric,data_clinical_sample.GRADE,3,observation,value_as_concept_id,Observation,SNOMED,,1242375,STANDARD,Decision 7: Nottingham combined histologic grade; the breast scale.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE I,observation,value_as_concept_id,Observation,Cancer Modifier,,1635800,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IA,observation,value_as_concept_id,Observation,Cancer Modifier,,1633594,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IB,observation,value_as_concept_id,Observation,Cancer Modifier,,1635653,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE II,observation,value_as_concept_id,Observation,Cancer Modifier,,1634619,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IIA,observation,value_as_concept_id,Observation,Cancer Modifier,,1635381,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IIB,observation,value_as_concept_id,Observation,Cancer Modifier,,1633915,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE III,observation,value_as_concept_id,Observation,Cancer Modifier,,1634947,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IIIA,observation,value_as_concept_id,Observation,Cancer Modifier,,1634842,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IIIB,observation,value_as_concept_id,Observation,Cancer Modifier,,1635602,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IIIC,observation,value_as_concept_id,Observation,Cancer Modifier,,1634299,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
tcga_brca,data_clinical_patient.AJCC_PATHOLOGIC_TUMOR_STAGE,STAGE IV,observation,value_as_concept_id,Observation,Cancer Modifier,,1635230,STANDARD,Decision 6: AJCC 7th edition pathological; STAGE X is unstageable and stays unmapped.
metabric,data_clinical_sample.TUMOR_SIZE,,measurement,unit_concept_id,Unit,UCUM,mm,8588,STANDARD,Decision 8: millimetre; mean 26.2 and max 182 confirm mm not cm.
